name,latitude,longitude,醤油,豚骨,味噌,塩,つけ麺,家系,二郎系,担々麺,魚介,油そば,まぜそば,ちゃんぽん,鶏白湯
そめいよしの,35.691438568229316,139.76687741017494,16,0,0,6,7,0,0,0,0,0,0,0,1
ZOOT,35.65714133872801,139.7560697841484,4,2,4,8,7,0,0,0,4,0,0,0,0
鳥藤 とりそばスタンド グランスタ東京店,35.67980053871724,139.7673843843693,5,0,0,10,0,0,0,9,0,0,0,0,0
ジカセイ メンショウ,35.66206433870666,139.69883368423822,20,1,0,5,1,0,0,2,5,1,0,0,10
中華そば つけめん 玉 新宿店,35.68652658613156,139.70283795480168,5,6,0,1,22,0,0,0,17,2,0,0,0
自家製熟成麺 吉岡 田端店,35.74079543867658,139.76134838498967,8,2,2,10,5,0,0,0,16,0,0,0,0
瀬戸内いりこラーメン 古田島,35.69107948103531,139.7692283425744,3,1,0,2,0,3,0,0,0,3,1,0,0
なんでんかんでん 西新宿店,35.69474773868577,139.69841238456866,0,17,0,0,1,0,0,0,0,0,0,0,0
麺処グロース,35.7291287431923,139.705537158041,2,8,0,5,17,0,0,0,7,0,1,0,0
味噌麺処 花道庵 北参道店,35.67700843870001,139.70771148438294,2,1,58,4,1,0,0,1,0,0,0,0,0
日の丸 さんじ,35.71073979531507,139.7803884549759,5,1,1,8,1,0,0,2,1,1,1,0,0
広州市場 西新宿店,35.68952673868867,139.6971037845168,13,0,0,28,0,0,0,0,0,0,0,0,0
瞠 池袋本店,35.7318386448263,139.71649973394256,1,1,0,1,12,0,1,0,7,4,9,0,0
麺匠 竹虎 本店,35.69589983868632,139.70242178457747,10,9,12,2,9,0,0,0,2,0,0,0,0
俺の空 新宿店,35.69336463868655,139.6981109845549,0,4,0,4,20,0,0,0,14,1,3,0,0
ラーメン凪 豚王 渋谷本店,35.6575245043809,139.7082163434358,1,31,1,7,0,0,0,0,0,0,0,0,0
