name,latitude,longitude,醤油,豚骨,味噌,塩,つけ麺,家系,二郎系,担々麺,魚介,油そば,まぜそば,ちゃんぽん,鶏白湯
つなぎ,35.647727277575925,139.7115717936262,5,2,40,1,1,0,0,0,0,0,0,0,0
Renge no Gotoku,35.65640013871097,139.7010782841794,4,0,1,9,10,0,0,23,0,0,0,0,0
九十九ラーメン 恵比寿本店,35.64984067168847,139.7120899866189,5,7,9,1,0,0,0,0,0,0,0,0,0
真鯛らぁめん まちかど,35.64876516502839,139.7083034061679,1,0,0,3,0,0,0,0,0,0,0,0,0
九月堂,35.66387933870568,139.69938728425615,5,3,1,9,6,0,0,4,5,0,0,0,0
麺屋ぬかじ,35.662701282376794,139.6985816274719,4,0,0,1,22,0,4,0,4,0,0,0,0
麺屋福丸,35.67559463868957,139.6721358843936,29,1,0,1,2,0,0,0,2,0,0,0,1
香湯ラーメン ちょろり 恵比寿店,35.644554338723,139.71518058404988,9,0,1,17,0,0,0,0,0,0,0,0,0
麺亭 しま田,35.64811593871869,139.70876668409036,10,0,0,3,7,0,0,0,0,0,5,0,0
吉法師,35.66257050668638,139.70108087037562,0,0,0,7,0,0,0,0,0,0,0,0,4
らすた 代々木店,35.682652246400274,139.70101106268433,9,3,0,0,2,26,0,0,0,0,1,0,0
しお貫,35.64511766897498,139.71799943551738,1,0,3,29,1,0,0,0,0,0,0,0,0
ジカセイ メンショウ,35.66206433870666,139.69883368423822,20,1,0,5,1,0,0,2,5,1,0,0,10
中華そば つけめん 玉 新宿店,35.68652658613156,139.70283795480168,5,6,0,1,22,0,0,0,17,2,0,0,0
味噌麺処 花道庵 北参道店,35.67700843870001,139.70771148438294,4,2,62,5,1,0,0,1,0,0,0,0,0
ラーメン凪 豚王 渋谷本店,35.6575245043809,139.7082163434358,1,31,1,7,0,0,0,0,0,0,0,0,0
中華麺酒房 中華そば すずらん,35.64823220384152,139.7104424197282,2,0,0,2,0,0,0,4,0,0,0,0,0
荒海,35.68680964111928,139.69605702531683,4,14,3,10,17,6,9,2,12,0,0,0,0
ねじ式,35.67926599840358,139.67719320123553,7,2,9,0,5,0,16,0,0,1,8,0,3
しゅういち 恵比寿店,35.64721043871912,139.70831368408153,0,0,0,0,26,0,0,0,0,6,0,0,0
とんくる,35.67516922870305,139.66814346534292,0,24,0,1,0,0,0,0,0,0,0,0,0
瞠 恵比寿店,35.6476236734565,139.71133765117492,0,2,0,2,5,0,0,0,5,15,0,0,0
まぜそば 三ツ星,35.64751696154171,139.70809375882638,2,0,0,2,0,0,0,3,0,1,41,1,0
横浜家系ラーメン侍 渋谷本店,35.65884531505363,139.69910426160294,9,5,0,2,0,36,0,0,0,0,0,0,0
長岡生姜ラーメン しょうがの湯,35.65662923871214,139.70522298417885,20,0,0,1,0,0,0,0,0,0,0,0,0
らあめん渋英,35.65897763870883,139.6994788842066,1,50,7,0,2,0,1,2,0,0,0,0,0
鶏そば・ラーメン Tonari,35.65818843870765,139.6941884842023,12,0,0,13,0,0,0,0,2,2,0,0,0
AFURI 恵比寿,35.64829473871925,139.7108721840907,9,1,1,18,8,0,0,0,2,0,0,0,0
唐そば,35.65846343871054,139.70382278419834,1,16,0,0,18,0,0,0,1,0,0,0,0
特麺コツ一丁ラーメン,35.67649753868993,139.67505638440065,4,5,0,1,1,0,2,0,0,0,0,0,0
背脂煮干中華そば 我武者羅 初台店,35.68361153868818,139.6837788844664,11,0,1,5,2,0,0,0,1,0,0,0,0
九州じゃんがららあめん 原宿店,35.669592976419985,139.70341030115267,0,9,5,1,0,0,0,0,1,0,0,0,0
アートマサシヤ,35.65541713870998,139.69599828417307,5,0,0,3,0,0,0,0,2,0,0,0,0
カムクラ ダイニング,35.646700938720045,139.71020088407508,4,2,2,4,1,1,1,7,0,0,1,1,0
一,35.670839454538374,139.70738302182073,5,4,1,8,39,0,0,0,9,0,1,1,0
凛 渋谷店,35.66294706450294,139.6971550679646,5,0,0,26,1,0,21,0,0,0,0,0,0
蝋燭屋 表参道ヒルズ店,35.66726943870661,139.70902838428364,0,0,2,0,0,0,0,8,0,0,6,0,0
博多食堂,35.661629555811025,139.69643272226625,0,15,5,1,0,0,0,0,0,0,0,0,0
麺処 竹川,35.65807143350708,139.69478576699552,1,0,0,1,21,0,0,0,0,0,0,0,2
麺屋武蔵 武骨外伝,35.65865433870865,139.69826078420417,3,5,10,2,47,0,0,0,10,0,0,0,0
代々木商店,35.68484293869292,139.70107918446672,2,5,4,6,0,30,0,0,0,0,0,0,0
RAMEN TOMIRAI 代々木店,35.68274193869461,139.70224758444468,1,12,8,0,5,0,0,2,27,0,0,0,0
らぁ麺田じま,35.66125583870691,139.69796948423064,19,0,2,3,17,0,0,1,0,0,2,0,0
伊蔵八味噌らーめん,35.65732763871093,139.70277268418764,3,1,56,0,1,0,0,0,0,0,0,0,0
らーめん屋 豪快,35.67415062278424,139.66731897446127,6,0,6,4,0,3,0,1,0,0,0,0,0
蒙古タンメン中本 渋谷店,35.6590778387086,139.69895128420796,0,0,22,0,1,0,0,0,0,0,0,0,0
GENEI.WAGAN,35.64844893872122,139.7173766840877,24,3,0,7,0,0,0,0,2,0,0,0,0
つけ麺屋 やすべえ 渋谷店,35.65713303871138,139.70380068418493,1,1,1,2,41,0,0,0,4,0,0,0,0
渋谷三丁目らあめん,35.65586075820162,139.70619853206117,0,9,2,1,3,0,0,0,0,0,0,0,0
たけいち 渋谷邸,35.65911739149477,139.70832709423186,11,0,1,0,3,0,0,0,0,2,0,0,17
武蔵家 幡ヶ谷Paul柳萬店,35.677452338689875,139.67680508440907,14,8,0,4,1,28,0,0,0,0,0,0,0
AFURI 原宿,35.67300493870128,139.70380178434525,5,0,0,31,5,0,0,0,0,0,0,0,0
まぜそば七,35.65663803871084,139.70107078418184,9,0,1,18,0,0,3,1,0,6,76,0,0
町田商店 渋谷店,35.662335038706054,139.69745918424192,8,5,0,8,5,16,0,0,1,0,0,0,0
らーめん たけ虎,35.67620057133689,139.67692641551423,11,0,0,11,0,0,0,0,1,0,0,0,0
嗟哉,35.68336493263405,139.68423159007065,18,2,14,19,49,3,9,0,7,0,1,0,0
つけ麺屋 やすべえ 新宿店,35.687808738689874,139.69743798449926,0,0,8,1,44,1,0,0,1,0,0,0,0
桂花ラーメン 渋谷センター街店,35.66022873870778,139.6986558842198,0,16,8,1,0,0,0,0,0,0,0,0,0
麺屋 琥珀,35.67979953869104,139.68515468442695,0,0,11,4,8,0,0,0,0,0,0,0,11
笹塚 大勝軒,35.671967270261696,139.6687534003023,5,0,0,3,0,0,0,0,1,0,0,0,0
博多天神 渋谷南口店,35.657904738709504,139.69948188419576,0,11,10,4,0,1,0,0,0,0,0,0,0
焼きあご塩らー麺 たかはし 恵比寿店,35.64654483871968,139.70871368407452,6,1,0,17,1,0,0,0,0,0,0,0,0
麺屋TAMOTSU,35.660429462508326,139.70770486327572,6,0,0,5,1,0,0,0,1,0,0,0,0
ガガナラーメン 極,35.6629380083494,139.69484801936355,3,5,0,0,23,0,0,0,6,0,9,0,0
黄金の塩らぁ麺 ドゥエ イタリアン 東急プラザ渋谷店,35.65765353870989,139.70011278419275,1,0,0,21,0,0,0,0,0,0,0,0,0
大穀,35.654089303834375,139.70750517177243,3,1,72,5,11,0,0,0,0,0,0,0,0
らーめん丸富,35.64856233872124,139.71768578408862,13,5,20,6,1,0,0,0,0,0,0,0,0
やぐら亭,35.683609338687674,139.68216018446753,14,1,4,3,2,0,0,0,2,0,0,0,0
味源熊祭 おくむら,35.660237638708004,139.69940588421937,7,5,41,6,0,2,0,0,1,0,0,0,0
オニソバフジヤ ～プレミアム～,35.66026100151878,139.6993650081005,0,0,38,1,8,0,0,0,0,0,0,0,0
麺屋 大和田,35.65797693870943,139.69936018419656,19,17,0,3,3,33,0,0,9,2,0,0,0
季織亭,35.66908633869795,139.6854522843185,4,0,0,11,8,0,0,2,1,0,0,0,0
麺屋 武一 初台店,35.68125629344938,139.68561490560583,13,1,1,6,10,1,1,8,0,0,0,0,24
中華そば専門 田中そば店 渋谷パルコ店,35.662116073428145,139.69893856921644,1,6,2,11,1,2,0,0,0,0,0,0,0
道楽 代々木店,35.68134485718068,139.6930667053412,10,18,6,7,0,12,0,0,0,0,0,0,0
中華そば 満鶏軒 渋谷店,35.65535263870972,139.69505348417306,8,0,0,18,0,0,0,0,0,6,0,0,0
東京背脂らーめん 麺王 渋谷本店,35.66021453870711,139.69656398422114,11,3,4,6,6,1,1,0,0,1,0,0,0
俺流塩らーめん 渋谷総本店,35.65612573870938,139.69548768418056,3,1,1,33,6,0,1,0,1,0,0,0,0
光醤,35.65858366769848,139.69860764822712,11,37,2,7,2,2,0,4,1,4,0,0,0
タムジャイサムゴー 恵比寿店,35.64693903872008,139.71082318407701,0,0,1,0,0,0,0,1,0,0,0,0,0
中華そばコヨシ 渋谷店,35.65998734542413,139.69511398485832,9,0,0,3,0,0,0,0,4,0,2,0,0
